tenure_0-5,account_Contract_MONTH-TO-MONTH,account_Contract_TWO YEAR,account_charges_0-500,Churn
0,0,0,0,0
0,1,0,0,0
1,1,0,1,1
0,1,0,0,1
1,1,0,1,1
0,1,0,0,0
0,0,1,0,0
0,0,1,0,0
0,1,0,1,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,1,0,1,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,0,0,0
1,1,0,1,0
0,0,0,0,1
1,1,0,1,1
0,1,0,0,1
0,1,0,0,0
1,1,0,1,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,1,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,0,1,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,1,0
0,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,0,0,0
0,0,1,0,0
1,1,0,1,1
0,1,0,0,0
0,1,0,0,0
0,0,0,0,1
0,0,1,0,0
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,0,0,0,0
0,1,0,0,1
0,0,1,0,0
0,1,0,0,1
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1,0,1,1
0,0,0,0,0
0,1,0,0,1
0,0,1,0,0
1,1,0,1,1
1,1,0,1,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,1
1,1,0,1,1
0,1,0,0,1
0,0,1,0,0
0,1,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,0
0,1,0,0,0
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
0,0,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,0,1,1
0,0,0,0,0
0,0,1,0,0
0,0,0,0,1
0,0,0,0,0
0,1,0,0,1
0,1,0,0,0
0,0,1,0,0
0,1,0,0,0
0,0,0,0,0
1,1,0,1,1
1,1,0,1,1
1,1,0,1,0
0,1,0,0,0
0,1,0,1,1
1,1,0,1,0
1,1,0,1,0
0,1,0,0,0
0,0,1,0,0
0,0,0,0,0
0,0,1,0,0
1,1,0,1,1
0,0,0,0,0
0,0,0,0,0
1,1,0,1,1
0,1,0,0,1
